Student_ID,Name,Maths,Physics,Biology,Social,Telugu,Hindi,English,Grade
S0486,Student_486,32,AB,77,61,37,83,54,No Grade
S0487,Student_487,50,AB,23,93,58,47,53,No Grade
S0488,Student_488,61,97,80,AB,56,AB,91,No Grade
S0489,Student_489,19,44,39,5,97,8,30,No Grade
S0490,Student_490,44,92,13,8,74,31,54,No Grade
S0491,Student_491,61,90,AB,24,94,42,79,No Grade
S0492,Student_492,65,92,45,90,84,69,93,B1
S0493,Student_493,24,87,25,78,AB,62,71,No Grade
S0494,Student_494,38,AB,51,61,32,41,31,No Grade
S0495,Student_495,14,38,92,18,12,48,AB,No Grade
S0496,Student_496,49,48,20,12,29,41,45,No Grade
S0497,Student_497,76,77,85,24,13,100,68,No Grade
S0498,Student_498,76,AB,83,91,56,AB,AB,No Grade
S0499,Student_499,3,23,17,20,53,92,59,No Grade
S0500,Student_500,91,23,AB,16,82,63,69,No Grade
S0501,Student_501,74,81,79,8,AB,99,11,No Grade
S0502,Student_502,AB,15,20,18,AB,28,88,No Grade
S0503,Student_503,21,53,79,66,84,8,3,No Grade
S0504,Student_504,65,AB,AB,37,56,34,AB,No Grade
S0505,Student_505,39,94,44,72,38,70,68,E
S0506,Student_506,AB,44,30,1,AB,74,54,No Grade
S0507,Student_507,10,90,42,46,98,89,37,No Grade
S0508,Student_508,0,43,88,16,14,52,90,No Grade
S0509,Student_509,54,63,50,72,53,95,24,No Grade
S0510,Student_510,97,86,36,98,80,65,84,B1
S0511,Student_511,91,9,67,98,8,0,AB,No Grade
S0512,Student_512,75,17,88,92,89,23,AB,No Grade
S0513,Student_513,78,20,33,18,83,40,67,No Grade
S0514,Student_514,98,80,94,62,2,7,83,No Grade
S0515,Student_515,8,96,27,99,85,AB,85,No Grade
S0516,Student_516,75,36,AB,42,71,26,69,No Grade
S0517,Student_517,18,94,26,79,5,67,AB,No Grade
S0518,Student_518,58,6,84,AB,5,51,33,No Grade
S0519,Student_519,5,100,76,87,35,55,56,No Grade
S0520,Student_520,60,85,20,100,AB,45,AB,No Grade
S0521,Student_521,19,36,33,28,91,62,45,No Grade
S0522,Student_522,25,AB,87,36,5,4,67,No Grade
S0523,Student_523,65,50,25,11,81,38,72,No Grade
S0524,Student_524,55,AB,57,AB,88,28,4,No Grade
S0525,Student_525,25,61,17,76,66,53,32,No Grade
S0526,Student_526,19,30,56,90,67,14,62,No Grade
S0527,Student_527,AB,83,16,27,82,91,86,No Grade
S0528,Student_528,95,54,AB,10,90,9,7,No Grade
S0529,Student_529,55,35,31,45,53,0,77,No Grade
S0530,Student_530,61,17,83,15,22,43,51,No Grade
S0531,Student_531,78,93,AB,33,21,100,78,No Grade
S0532,Student_532,90,AB,42,56,41,0,6,No Grade
S0533,Student_533,89,AB,28,99,64,AB,73,No Grade
S0534,Student_534,6,AB,18,32,48,1,83,No Grade
S0535,Student_535,48,92,74,AB,2,91,AB,No Grade
S0536,Student_536,AB,23,2,83,AB,73,79,No Grade
S0537,Student_537,87,AB,25,70,82,AB,6,No Grade
S0538,Student_538,44,35,92,21,76,75,40,No Grade
S0539,Student_539,84,69,33,62,16,51,1,No Grade
S0540,Student_540,17,41,5,99,AB,8,52,No Grade
S0541,Student_541,21,71,73,28,72,85,60,No Grade
S0542,Student_542,AB,64,64,18,51,25,85,No Grade
S0543,Student_543,58,87,100,26,88,76,11,No Grade
S0544,Student_544,79,33,81,24,AB,65,AB,No Grade
S0545,Student_545,86,64,29,48,12,14,88,No Grade
S0546,Student_546,89,72,16,83,69,100,45,No Grade
S0547,Student_547,30,11,33,0,22,78,33,No Grade
S0548,Student_548,39,38,29,70,25,97,AB,No Grade
S0549,Student_549,57,35,81,95,19,76,98,No Grade
S0550,Student_550,95,30,44,12,51,72,72,No Grade
S0551,Student_551,33,61,AB,12,31,55,57,No Grade
S0552,Student_552,29,14,AB,13,80,70,59,No Grade
S0553,Student_553,AB,97,60,27,AB,54,40,No Grade
S0554,Student_554,86,60,47,27,AB,78,1,No Grade
S0555,Student_555,0,72,18,61,81,39,68,No Grade
S0556,Student_556,61,35,9,88,83,AB,17,No Grade
S0557,Student_557,53,84,17,23,76,39,94,No Grade
S0558,Student_558,19,38,49,75,14,72,31,No Grade
S0559,Student_559,59,9,33,38,71,41,36,No Grade
S0560,Student_560,45,23,AB,73,AB,92,AB,No Grade
S0561,Student_561,51,74,2,AB,97,28,100,No Grade
S0562,Student_562,31,57,73,55,56,35,81,No Grade
S0563,Student_563,87,31,40,29,2,69,75,No Grade
S0564,Student_564,23,73,AB,48,AB,26,28,No Grade
S0565,Student_565,45,26,86,36,40,40,95,No Grade
S0566,Student_566,66,33,57,89,41,45,39,No Grade
S0567,Student_567,79,AB,30,33,30,64,74,No Grade
S0568,Student_568,60,11,45,27,45,2,70,No Grade
S0569,Student_569,AB,78,64,35,11,15,49,No Grade
S0570,Student_570,51,15,77,54,55,86,29,No Grade
S0571,Student_571,AB,14,AB,62,27,7,95,No Grade
S0572,Student_572,9,32,57,17,22,17,93,No Grade
S0573,Student_573,52,5,66,31,72,98,10,No Grade
S0574,Student_574,42,9,97,89,7,23,22,No Grade
S0575,Student_575,34,90,100,6,43,34,87,No Grade
S0576,Student_576,82,5,39,58,33,4,87,No Grade
S0577,Student_577,63,17,93,100,52,21,19,No Grade
S0578,Student_578,64,49,10,24,44,95,59,No Grade
S0579,Student_579,2,60,36,59,22,31,37,No Grade
S0580,Student_580,39,69,49,12,93,49,37,No Grade
S0581,Student_581,48,44,11,4,57,21,10,No Grade
S0582,Student_582,AB,AB,28,35,93,13,13,No Grade
S0583,Student_583,88,73,52,77,50,77,58,B2
S0584,Student_584,79,52,37,AB,38,59,3,No Grade
S0585,Student_585,36,27,48,93,AB,98,81,No Grade
S0586,Student_586,10,96,AB,84,77,15,77,No Grade
S0587,Student_587,32,12,80,17,75,AB,43,No Grade
S0588,Student_588,1,68,83,49,21,AB,63,No Grade
S0589,Student_589,63,67,AB,34,100,71,79,No Grade
S0590,Student_590,61,AB,32,95,82,AB,44,No Grade
S0591,Student_591,58,AB,53,14,6,89,50,No Grade
S0592,Student_592,90,66,AB,99,51,9,4,No Grade
S0593,Student_593,31,63,7,37,42,26,59,No Grade
S0594,Student_594,52,34,24,5,77,AB,49,No Grade
S0595,Student_595,80,20,18,16,50,99,16,No Grade
S0596,Student_596,87,30,65,94,53,91,37,No Grade
S0597,Student_597,50,AB,19,77,95,85,80,No Grade
S0598,Student_598,AB,44,58,76,30,5,49,No Grade
S0599,Student_599,6,16,89,46,33,52,67,No Grade
S0600,Student_600,51,73,15,AB,87,52,91,No Grade
S0601,Student_601,77,88,AB,79,12,90,84,No Grade
S0602,Student_602,39,99,38,82,43,AB,66,No Grade
S0603,Student_603,48,50,92,64,44,65,12,No Grade
S0604,Student_604,11,48,78,79,25,52,57,No Grade
S0605,Student_605,40,10,17,68,24,17,AB,No Grade
S0606,Student_606,59,32,51,7,62,69,AB,No Grade
S0607,Student_607,20,19,AB,97,AB,51,AB,No Grade
S0608,Student_608,31,AB,55,15,32,79,21,No Grade
S0609,Student_609,71,62,66,24,5,88,97,No Grade
S0610,Student_610,13,62,50,52,34,16,44,No Grade
S0611,Student_611,59,7,78,82,41,86,54,No Grade
S0612,Student_612,6,97,84,10,35,60,80,No Grade
S0613,Student_613,88,91,42,85,43,AB,72,No Grade
S0614,Student_614,41,97,59,AB,AB,78,88,No Grade
S0615,Student_615,31,88,AB,8,96,87,71,No Grade
S0616,Student_616,68,88,3,19,43,73,AB,No Grade
S0617,Student_617,8,56,100,AB,20,57,91,No Grade
S0618,Student_618,6,11,68,28,5,56,88,No Grade
S0619,Student_619,61,15,AB,36,58,14,59,No Grade
S0620,Student_620,84,37,62,71,69,30,5,No Grade
S0621,Student_621,56,18,10,51,98,63,40,No Grade
S0622,Student_622,29,64,37,18,44,AB,18,No Grade
S0623,Student_623,AB,48,25,60,62,AB,AB,No Grade
S0624,Student_624,11,94,91,94,82,AB,84,No Grade
S0625,Student_625,85,AB,AB,93,AB,42,33,No Grade
S0626,Student_626,77,47,8,93,21,12,60,No Grade
S0627,Student_627,82,42,17,17,28,36,42,No Grade
S0628,Student_628,78,88,AB,AB,8,46,73,No Grade
S0629,Student_629,83,20,48,3,82,AB,40,No Grade
S0630,Student_630,4,39,24,1,70,62,77,No Grade
S0631,Student_631,66,AB,29,8,12,24,3,No Grade
S0632,Student_632,83,64,77,0,4,98,74,No Grade
S0633,Student_633,78,35,90,48,65,35,AB,No Grade
S0634,Student_634,7,AB,53,93,1,49,84,No Grade
S0635,Student_635,68,45,46,67,8,92,24,No Grade
S0636,Student_636,31,AB,94,95,76,34,70,No Grade
S0637,Student_637,31,26,78,44,64,39,38,No Grade
S0638,Student_638,83,49,50,70,96,90,92,B1
S0639,Student_639,92,56,42,AB,AB,3,AB,No Grade
S0640,Student_640,91,77,16,2,100,71,8,No Grade
S0641,Student_641,27,57,AB,50,70,53,36,No Grade
S0642,Student_642,AB,35,77,AB,61,63,49,No Grade
S0643,Student_643,57,AB,8,52,78,69,29,No Grade
S0644,Student_644,63,48,99,71,95,77,21,No Grade
S0645,Student_645,48,30,45,62,77,47,24,No Grade
S0646,Student_646,AB,57,77,AB,AB,AB,61,No Grade
S0647,Student_647,20,AB,90,57,30,22,87,No Grade
S0648,Student_648,AB,69,AB,74,68,8,92,No Grade
S0649,Student_649,63,11,56,32,18,AB,64,No Grade
S0650,Student_650,49,78,99,54,40,24,AB,No Grade
S0651,Student_651,AB,37,46,17,48,68,72,No Grade
S0652,Student_652,7,57,87,88,27,86,58,No Grade
S0653,Student_653,66,6,58,6,47,78,AB,No Grade
S0654,Student_654,AB,AB,85,45,24,86,39,No Grade
S0655,Student_655,AB,40,45,32,13,43,24,No Grade
S0656,Student_656,4,78,55,10,18,71,56,No Grade
S0657,Student_657,94,89,36,38,49,74,42,E
S0658,Student_658,50,2,1,21,AB,58,47,No Grade
S0659,Student_659,2,25,75,AB,75,13,79,No Grade
S0660,Student_660,70,AB,66,97,AB,48,52,No Grade
S0661,Student_661,AB,3,2,AB,90,80,52,No Grade
S0662,Student_662,74,33,AB,AB,AB,61,100,No Grade
S0663,Student_663,34,96,91,65,46,71,85,No Grade
S0664,Student_664,15,98,17,86,21,58,17,No Grade
S0665,Student_665,39,70,51,95,37,41,74,C
S0666,Student_666,76,AB,71,44,45,3,67,No Grade
S0667,Student_667,37,40,22,50,88,53,9,No Grade
S0668,Student_668,49,40,50,16,96,AB,AB,No Grade
S0669,Student_669,96,44,92,5,53,21,63,No Grade
S0670,Student_670,19,95,51,AB,78,AB,33,No Grade
S0671,Student_671,AB,AB,41,18,AB,11,80,No Grade
S0672,Student_672,63,67,20,80,27,14,94,No Grade
S0673,Student_673,AB,14,84,77,100,17,58,No Grade
S0674,Student_674,99,38,39,90,41,12,90,No Grade
S0675,Student_675,11,46,86,28,6,57,37,No Grade
S0676,Student_676,73,97,84,14,79,99,53,No Grade
S0677,Student_677,64,39,AB,84,98,82,29,No Grade
S0678,Student_678,39,32,44,21,77,9,86,No Grade
S0679,Student_679,AB,37,62,79,AB,97,AB,No Grade
S0680,Student_680,1,59,33,39,60,25,87,No Grade
S0681,Student_681,4,73,20,98,22,19,AB,No Grade
S0682,Student_682,10,65,AB,7,82,89,9,No Grade
S0683,Student_683,99,48,17,24,8,74,94,No Grade
S0684,Student_684,67,34,AB,25,7,2,19,No Grade
S0685,Student_685,14,AB,9,AB,7,13,20,No Grade
S0686,Student_686,AB,63,17,7,54,36,22,No Grade
S0687,Student_687,82,10,38,AB,AB,54,68,No Grade
S0688,Student_688,46,AB,39,7,55,70,15,No Grade
S0689,Student_689,20,17,96,11,36,45,36,No Grade
S0690,Student_690,46,57,45,78,83,17,73,No Grade
S0691,Student_691,38,AB,79,AB,51,65,20,No Grade
S0692,Student_692,48,91,14,20,78,55,AB,No Grade
S0693,Student_693,73,83,68,84,63,79,99,B1
S0694,Student_694,87,0,57,AB,7,49,AB,No Grade
S0695,Student_695,63,78,74,AB,AB,31,0,No Grade
S0696,Student_696,33,2,62,5,69,72,24,No Grade
S0697,Student_697,53,12,43,53,14,55,77,No Grade
S0698,Student_698,73,51,92,7,51,32,62,No Grade
S0699,Student_699,23,90,74,AB,61,32,93,No Grade
S0700,Student_700,29,65,33,96,56,6,92,No Grade
S0701,Student_701,0,13,0,AB,29,34,47,No Grade
S0702,Student_702,4,51,AB,39,42,100,12,No Grade
S0703,Student_703,96,94,53,21,23,86,42,No Grade
S0704,Student_704,54,28,78,65,7,88,84,No Grade
S0705,Student_705,95,16,52,52,AB,AB,29,No Grade
S0706,Student_706,43,96,39,43,30,AB,76,No Grade
S0707,Student_707,9,AB,99,AB,37,60,21,No Grade
S0708,Student_708,74,73,7,13,AB,5,80,No Grade
S0709,Student_709,1,32,8,70,85,5,AB,No Grade
S0710,Student_710,99,25,60,84,AB,38,82,No Grade
S0711,Student_711,75,55,77,64,36,68,16,No Grade
S0712,Student_712,AB,86,44,AB,85,57,76,No Grade
S0713,Student_713,73,95,26,31,47,13,8,No Grade
S0714,Student_714,56,99,AB,5,AB,13,AB,No Grade
S0715,Student_715,63,7,94,63,6,7,41,No Grade
S0716,Student_716,76,40,94,41,32,55,17,No Grade
S0717,Student_717,26,66,65,6,92,72,AB,No Grade
S0718,Student_718,21,86,27,76,42,51,82,No Grade
S0719,Student_719,51,73,70,46,69,16,70,No Grade
S0720,Student_720,78,89,77,39,65,41,97,B2
S0721,Student_721,82,AB,19,71,16,33,93,No Grade
S0722,Student_722,16,16,78,16,AB,19,33,No Grade
S0723,Student_723,5,53,16,17,59,69,78,No Grade
S0724,Student_724,19,1,46,72,77,52,2,No Grade
S0725,Student_725,93,AB,30,24,27,82,77,No Grade
S0726,Student_726,26,55,79,79,45,75,AB,No Grade
S0727,Student_727,2,76,8,23,46,14,95,No Grade
S0728,Student_728,9,87,49,AB,19,92,48,No Grade
S0729,Student_729,8,4,13,AB,24,57,AB,No Grade
S0730,Student_730,AB,18,82,17,33,35,29,No Grade
S0731,Student_731,36,AB,31,91,30,44,9,No Grade
S0732,Student_732,14,32,38,91,72,79,58,No Grade
S0733,Student_733,98,77,3,AB,AB,39,81,No Grade
S0734,Student_734,81,21,79,21,59,12,25,No Grade
S0735,Student_735,0,51,56,47,24,72,28,No Grade
S0736,Student_736,49,42,4,17,19,AB,66,No Grade
S0737,Student_737,89,73,72,52,53,58,23,No Grade
S0738,Student_738,19,5,10,26,38,21,AB,No Grade
S0739,Student_739,82,52,0,57,14,AB,AB,No Grade
S0740,Student_740,75,72,90,30,26,89,59,No Grade
S0741,Student_741,87,56,87,13,33,44,51,No Grade
S0742,Student_742,86,17,91,AB,49,AB,58,No Grade
S0743,Student_743,28,16,81,48,10,100,69,No Grade
S0744,Student_744,13,93,51,70,43,51,72,No Grade
S0745,Student_745,76,85,48,98,76,53,56,E
S0746,Student_746,92,88,90,AB,77,75,AB,No Grade
S0747,Student_747,42,12,85,16,AB,100,31,No Grade
S0748,Student_748,38,59,AB,14,34,84,AB,No Grade
S0749,Student_749,80,0,84,22,55,17,58,No Grade
S0750,Student_750,64,29,64,50,56,82,35,No Grade
S0751,Student_751,90,67,98,11,76,18,53,No Grade
S0752,Student_752,1,8,15,AB,AB,31,92,No Grade
S0753,Student_753,98,73,62,52,AB,89,1,No Grade
S0754,Student_754,33,20,6,15,AB,78,55,No Grade
S0755,Student_755,50,35,42,80,85,10,37,No Grade
S0756,Student_756,14,30,75,11,78,13,37,No Grade
S0757,Student_757,16,62,67,98,4,1,43,No Grade
S0758,Student_758,21,89,AB,0,37,71,79,No Grade
S0759,Student_759,65,32,AB,83,93,AB,97,No Grade
S0760,Student_760,20,49,44,86,78,39,4,No Grade
S0761,Student_761,98,19,86,23,72,AB,81,No Grade
S0762,Student_762,68,19,95,53,97,78,77,No Grade
S0763,Student_763,38,40,66,26,22,58,AB,No Grade
S0764,Student_764,43,81,AB,41,17,19,8,No Grade
S0765,Student_765,11,84,27,52,93,6,82,No Grade
S0766,Student_766,94,24,73,76,74,AB,97,No Grade
S0767,Student_767,10,AB,2,37,41,51,AB,No Grade
S0768,Student_768,24,61,92,AB,33,25,83,No Grade
S0769,Student_769,71,67,56,56,1,5,83,No Grade
S0770,Student_770,30,48,48,3,71,3,95,No Grade
S0771,Student_771,AB,76,68,70,4,62,29,No Grade
S0772,Student_772,94,8,AB,97,86,28,52,No Grade
S0773,Student_773,24,57,91,6,22,4,29,No Grade
S0774,Student_774,43,47,89,36,64,71,43,C
S0775,Student_775,100,38,89,94,AB,17,68,No Grade
S0776,Student_776,27,14,84,93,28,30,100,No Grade
S0777,Student_777,26,24,56,9,94,80,84,No Grade
S0778,Student_778,50,33,43,82,62,89,78,No Grade
S0779,Student_779,AB,61,65,96,81,61,79,No Grade
S0780,Student_780,84,70,77,51,100,26,97,No Grade
S0781,Student_781,AB,94,89,54,25,8,5,No Grade
S0782,Student_782,26,59,AB,54,61,23,98,No Grade
S0783,Student_783,5,51,37,100,26,48,84,No Grade
S0784,Student_784,AB,46,13,16,10,20,95,No Grade
S0785,Student_785,77,12,19,0,22,2,17,No Grade
S0786,Student_786,14,1,23,55,78,44,6,No Grade
S0787,Student_787,92,44,43,19,29,60,2,No Grade
S0788,Student_788,95,50,58,86,51,47,65,B2
S0789,Student_789,18,47,39,4,50,24,22,No Grade
S0790,Student_790,AB,AB,35,58,55,75,AB,No Grade
S0791,Student_791,83,54,65,14,31,42,100,No Grade
S0792,Student_792,AB,43,45,3,64,59,49,No Grade
S0793,Student_793,AB,61,10,60,47,91,95,No Grade
S0794,Student_794,93,3,4,29,95,20,AB,No Grade
S0795,Student_795,92,87,26,69,AB,34,26,No Grade
S0796,Student_796,74,AB,59,38,97,21,25,No Grade
S0797,Student_797,40,45,40,31,66,73,AB,No Grade
S0798,Student_798,73,AB,81,8,19,61,AB,No Grade
S0799,Student_799,13,61,AB,97,0,4,96,No Grade
S0800,Student_800,74,61,88,51,99,AB,9,No Grade
S0801,Student_801,21,71,94,99,68,9,87,No Grade
S0802,Student_802,72,69,80,85,7,41,46,No Grade
S0803,Student_803,64,7,74,40,33,36,4,No Grade
S0804,Student_804,91,91,AB,91,39,23,51,No Grade
S0805,Student_805,AB,17,81,94,AB,29,57,No Grade
S0806,Student_806,9,89,90,99,AB,12,56,No Grade
S0807,Student_807,4,91,88,82,59,26,AB,No Grade
S0808,Student_808,14,56,73,86,68,35,55,No Grade
S0809,Student_809,21,42,32,AB,AB,1,63,No Grade
S0810,Student_810,AB,32,50,72,23,37,100,No Grade
S0811,Student_811,62,64,17,AB,80,31,90,No Grade
S0812,Student_812,AB,49,43,72,100,47,8,No Grade
S0813,Student_813,51,79,80,46,AB,56,23,No Grade
S0814,Student_814,1,55,91,42,70,59,AB,No Grade
S0815,Student_815,12,AB,23,35,15,AB,55,No Grade
S0816,Student_816,4,1,80,29,99,47,29,No Grade
S0817,Student_817,AB,AB,59,38,47,AB,75,No Grade
S0818,Student_818,51,41,42,58,55,AB,47,No Grade
S0819,Student_819,27,93,95,39,75,79,77,No Grade
S0820,Student_820,4,92,57,14,4,AB,74,No Grade
S0821,Student_821,AB,80,17,68,59,81,AB,No Grade
S0822,Student_822,0,52,65,46,56,34,88,No Grade
S0823,Student_823,76,43,37,86,82,AB,74,No Grade
S0824,Student_824,22,60,45,47,88,79,55,No Grade
S0825,Student_825,AB,70,89,71,57,37,54,No Grade
S0826,Student_826,51,29,AB,16,62,91,56,No Grade
S0827,Student_827,92,49,AB,71,13,75,AB,No Grade
S0828,Student_828,93,76,18,55,33,95,91,No Grade
S0829,Student_829,5,83,79,AB,2,2,AB,No Grade
S0830,Student_830,94,21,85,35,17,39,40,No Grade
S0831,Student_831,49,AB,57,AB,62,86,82,No Grade
S0832,Student_832,34,93,36,58,64,28,90,No Grade
S0833,Student_833,32,26,24,61,AB,AB,58,No Grade
S0834,Student_834,65,4,30,50,85,37,1,No Grade
S0835,Student_835,32,39,47,55,85,9,46,No Grade
S0836,Student_836,25,56,79,91,15,25,34,No Grade
S0837,Student_837,69,63,43,79,38,1,30,No Grade
S0838,Student_838,AB,66,AB,4,AB,73,65,No Grade
S0839,Student_839,34,89,91,100,7,55,13,No Grade
S0840,Student_840,62,17,97,52,70,36,32,No Grade
S0841,Student_841,24,3,90,53,66,30,67,No Grade
S0842,Student_842,3,13,76,41,63,83,43,No Grade
S0843,Student_843,98,50,60,21,AB,66,5,No Grade
S0844,Student_844,30,36,AB,51,16,AB,60,No Grade
S0845,Student_845,40,76,88,AB,97,47,50,No Grade
S0846,Student_846,83,14,71,6,52,89,19,No Grade
S0847,Student_847,50,90,9,AB,7,85,41,No Grade
S0848,Student_848,33,86,94,18,59,45,37,No Grade
S0849,Student_849,30,96,49,54,55,15,24,No Grade
S0850,Student_850,56,80,AB,91,45,35,67,No Grade
S0851,Student_851,46,7,16,AB,60,75,88,No Grade
S0852,Student_852,61,43,97,28,89,78,83,No Grade
S0853,Student_853,25,25,82,38,75,AB,83,No Grade
S0854,Student_854,99,45,21,48,50,100,AB,No Grade
S0855,Student_855,99,100,AB,94,31,AB,79,No Grade
S0856,Student_856,27,96,81,13,AB,45,64,No Grade
S0857,Student_857,94,57,1,13,51,15,2,No Grade
S0858,Student_858,21,71,AB,26,59,17,60,No Grade
S0859,Student_859,64,AB,21,95,33,13,44,No Grade
S0860,Student_860,25,AB,86,41,31,85,78,No Grade
S0861,Student_861,17,10,72,54,37,88,AB,No Grade
S0862,Student_862,AB,48,87,6,34,0,43,No Grade
S0863,Student_863,20,81,15,59,54,34,12,No Grade
S0864,Student_864,AB,28,85,55,AB,39,49,No Grade
S0865,Student_865,97,29,7,58,AB,32,90,No Grade
S0866,Student_866,AB,65,47,68,45,44,2,No Grade
S0867,Student_867,50,42,96,22,86,AB,AB,No Grade
S0868,Student_868,35,69,85,3,25,55,89,No Grade
S0869,Student_869,80,66,24,45,35,100,58,No Grade
S0870,Student_870,19,75,14,91,25,73,29,No Grade
S0871,Student_871,72,69,93,50,48,92,95,B1
S0872,Student_872,40,AB,50,16,20,28,17,No Grade
S0873,Student_873,35,AB,53,67,95,95,61,No Grade
S0874,Student_874,40,AB,12,6,60,32,AB,No Grade
S0875,Student_875,0,6,51,39,AB,34,20,No Grade
S0876,Student_876,86,31,57,8,26,20,50,No Grade
S0877,Student_877,64,17,60,2,16,3,85,No Grade
S0878,Student_878,48,50,18,36,35,3,22,No Grade
S0879,Student_879,15,AB,49,76,36,100,98,No Grade
S0880,Student_880,80,26,AB,96,68,37,1,No Grade
S0881,Student_881,63,100,6,18,18,92,98,No Grade
S0882,Student_882,31,40,62,78,37,89,28,No Grade
S0883,Student_883,AB,15,49,31,61,51,29,No Grade
S0884,Student_884,16,84,70,AB,31,68,70,No Grade
S0885,Student_885,47,52,10,37,55,42,70,No Grade
S0886,Student_886,3,58,18,9,12,1,35,No Grade
S0887,Student_887,80,82,45,78,5,63,66,No Grade
S0888,Student_888,61,30,97,52,53,96,5,No Grade
S0889,Student_889,96,41,48,54,AB,35,59,No Grade
S0890,Student_890,73,11,96,67,58,92,68,No Grade
S0891,Student_891,14,76,83,39,98,53,90,No Grade
S0892,Student_892,18,AB,4,89,14,2,15,No Grade
S0893,Student_893,51,39,AB,79,95,25,AB,No Grade
S0894,Student_894,AB,46,50,81,100,73,41,No Grade
S0895,Student_895,49,27,10,89,78,42,47,No Grade
S0896,Student_896,22,77,0,18,AB,24,82,No Grade
S0897,Student_897,28,AB,28,AB,80,99,47,No Grade
S0898,Student_898,74,2,8,50,46,58,AB,No Grade
S0899,Student_899,35,18,AB,96,83,63,40,No Grade
S0900,Student_900,1,27,46,51,AB,22,71,No Grade
S0901,Student_901,48,61,17,80,1,43,34,No Grade
S0902,Student_902,92,48,52,48,42,35,39,E
S0903,Student_903,AB,35,47,89,63,60,83,No Grade
S0904,Student_904,56,58,68,45,44,AB,57,No Grade
S0905,Student_905,31,AB,AB,25,67,8,AB,No Grade
S0906,Student_906,80,AB,50,7,43,73,25,No Grade
S0907,Student_907,82,36,27,AB,14,77,99,No Grade
S0908,Student_908,81,58,59,43,91,47,66,B2
S0909,Student_909,65,60,54,AB,2,37,51,No Grade
S0910,Student_910,7,26,60,48,94,47,93,No Grade
S0911,Student_911,AB,56,24,45,71,51,29,No Grade
S0912,Student_912,21,AB,63,92,59,65,23,No Grade
S0913,Student_913,28,87,90,23,90,20,92,No Grade
S0914,Student_914,11,75,19,81,18,30,79,No Grade
S0915,Student_915,79,AB,51,17,50,3,57,No Grade
S0916,Student_916,56,67,18,88,45,83,87,No Grade
S0917,Student_917,92,30,82,94,77,AB,AB,No Grade
S0918,Student_918,78,20,17,98,AB,10,AB,No Grade
S0919,Student_919,78,AB,62,42,77,17,29,No Grade
S0920,Student_920,29,15,98,93,1,56,4,No Grade
S0921,Student_921,99,29,41,34,11,AB,17,No Grade
S0922,Student_922,78,38,90,28,AB,74,47,No Grade
S0923,Student_923,22,97,2,18,88,65,91,No Grade
S0924,Student_924,91,13,30,71,AB,87,75,No Grade
S0925,Student_925,91,37,84,92,36,73,78,E
S0926,Student_926,72,79,62,5,70,AB,85,No Grade
S0927,Student_927,9,39,31,16,19,9,15,No Grade
S0928,Student_928,98,AB,2,21,52,94,25,No Grade
S0929,Student_929,90,67,13,36,18,4,46,No Grade
S0930,Student_930,68,19,66,78,60,36,23,No Grade
S0931,Student_931,73,100,7,69,AB,98,50,No Grade
S0932,Student_932,58,14,40,89,60,26,81,No Grade
S0933,Student_933,94,38,68,74,5,24,52,No Grade
S0934,Student_934,24,86,37,20,30,11,49,No Grade
S0935,Student_935,60,81,68,AB,51,41,85,No Grade
S0936,Student_936,98,32,95,80,67,AB,1,No Grade
S0937,Student_937,32,16,44,49,76,AB,53,No Grade
S0938,Student_938,66,76,55,58,32,66,58,No Grade
S0939,Student_939,45,20,18,7,24,92,47,No Grade
S0940,Student_940,83,22,43,85,31,95,82,No Grade
S0941,Student_941,44,60,48,11,18,31,33,No Grade
S0942,Student_942,73,51,90,52,AB,58,68,No Grade
S0943,Student_943,60,94,29,34,49,8,0,No Grade
S0944,Student_944,73,88,AB,28,91,57,1,No Grade
S0945,Student_945,67,11,8,95,AB,AB,8,No Grade
S0946,Student_946,54,47,30,2,42,35,7,No Grade
S0947,Student_947,64,15,66,75,97,97,54,No Grade
S0948,Student_948,98,24,68,95,25,96,75,No Grade
S0949,Student_949,27,48,59,94,AB,AB,97,No Grade
S0950,Student_950,79,AB,66,22,27,4,74,No Grade
S0951,Student_951,86,70,78,42,51,3,77,No Grade
S0952,Student_952,24,45,14,21,43,AB,63,No Grade
S0953,Student_953,69,13,AB,72,30,86,AB,No Grade
S0954,Student_954,16,AB,16,93,91,20,34,No Grade
S0955,Student_955,33,6,96,42,28,62,7,No Grade
S0956,Student_956,0,39,33,45,59,73,93,No Grade
S0957,Student_957,20,8,58,26,18,13,73,No Grade
S0958,Student_958,46,68,94,57,44,38,90,B2
S0959,Student_959,15,93,63,69,AB,31,AB,No Grade
S0960,Student_960,74,74,76,27,84,0,0,No Grade
S0961,Student_961,73,51,77,11,22,9,28,No Grade
S0962,Student_962,86,79,90,31,31,81,22,No Grade
S0963,Student_963,24,61,AB,AB,76,12,38,No Grade
S0964,Student_964,69,34,AB,53,9,53,95,No Grade
S0965,Student_965,62,23,8,68,8,29,88,No Grade
S0966,Student_966,AB,65,9,33,37,69,53,No Grade
S0967,Student_967,44,17,21,2,AB,51,2,No Grade
S0968,Student_968,13,1,61,4,0,74,12,No Grade
S0969,Student_969,3,24,36,14,97,88,21,No Grade
S0970,Student_970,17,44,96,34,61,3,88,No Grade
S0971,Student_971,92,35,46,75,4,44,58,No Grade
S0972,Student_972,52,97,54,0,1,10,71,No Grade
